"","SS","YEAR","BEETLEAREA150","BEETLEAREA300","BEETLEAREA500","SEVERITY150","DOMCLASS150","SEVERITY300","DOMCLASS300","SEVERITY500","DOMCLASS500","BURNAREA150","BURNAREA300","BURNAREA500","DOMBURNCLASS150","DOMBURNCLASS300","DOMBURNCLASS500","location.x","latitude.x","longitude.x","year.x","maxFY150m","meanFY150m","maxFY300m","meanFY300m","maxFY500m","meanFY500m","HARVESTAREA150","HARVESTAREA300","HARVESTAREA500","location.y","latitude.y","longitude.y","year.y","maxHY150m","meanHY150m","maxHY300m","meanHY300m","maxHY500m","meanHY500m"
"1","MPB-B1-1",2023,70653.540927799,255174.808050285,650293.560967115,2,2,2,2,2,2,64045.1947524659,193204.520710241,437359.106061055,0,0,0,"MPB-B1-1",53.168367,-118.036606,2023,2022,2022,2022,2022,2022,2022,0,0,0,"MPB-B1-1",53.168367,-118.036606,2023,NA,NA,NA,NA,NA,NA
"2","MPB-B1-10",2023,51733.0310086641,177306.15202164,569698.746303445,2,2,2,2,2,2,70653.5409280714,282614.163712166,785039.343643975,0,0,0,"MPB-B1-10",53.102538,-118.061879,2023,2022,2022,2022,2022,2022,2022,0,0,0,"MPB-B1-10",53.102538,-118.061879,2023,NA,NA,NA,NA,NA,NA
"3","MPB-B1-11",2023,68423.9606030742,238241.597466998,624458.932413631,2,2,2,2,2,2,70653.5409279019,282614.163711734,785039.343643911,0,0,0,"MPB-B1-11",53.100036,-118.059144,2023,2022,2022,2022,2022,2022,2022,0,0,0,"MPB-B1-11",53.100036,-118.059144,2023,NA,NA,NA,NA,NA,NA
"4","MPB-B1-12",2023,56272.6843829649,182216.071679469,407341.159657003,2,2,2,2,2,2,70653.5409279603,282614.163712166,785039.343644563,0,0,0,"MPB-B1-12",53.096546,-118.060372,2023,2022,2022,2022,2022,2022,2022,0,0,0,"MPB-B1-12",53.096546,-118.060372,2023,NA,NA,NA,NA,NA,NA
"5","MPB-B1-14",2023,55415.1916172323,142441.416003227,214630.497806668,2,2,2,2,2,2,70653.5409279261,282614.163711792,780902.031048551,0,0,0,"MPB-B1-14",53.08415,-118.092109,2023,2022,2022,2022,2022,2022,2021,0,0,0,"MPB-B1-14",53.08415,-118.092109,2023,NA,NA,NA,NA,NA,NA
"6","MPB-B1-15",2023,49970.9596454361,132610.316774066,339750.236457178,2,2,2,2,4,3,70653.5409278721,282614.163711913,785039.343643878,0,0,0,"MPB-B1-15",53.060699,-118.114078,2023,2022,2022,2022,2022,2022,2022,0,0,0,"MPB-B1-15",53.060699,-118.114078,2023,NA,NA,NA,NA,NA,NA
"7","MPB-B1-16",2023,67606.5443537342,251098.927387582,553460.62444837,0,0,0,0,0,0,70653.5409278804,282614.163712038,785039.343643311,0,0,0,"MPB-B1-16",53.05830226,-118.1213429,2023,2022,2022,2022,2022,2022,2022,0,0,0,"MPB-B1-16",53.05830226,-118.1213429,2023,NA,NA,NA,NA,NA,NA
"8","MPB-B1-17",2023,61109.6781231142,214715.09091574,477318.742967291,2,2,2,2,3,2,70653.540928103,282614.163711909,785039.343643941,0,0,0,"MPB-B1-17",53.04022,-118.136878,2023,2022,2022,2022,2022,2022,2022,0,0,0,"MPB-B1-17",53.04022,-118.136878,2023,NA,NA,NA,NA,NA,NA
"9","MPB-B1-18",2023,67604.0795917764,251091.705306755,553450.667983461,0,0,0,0,0,0,70653.5409278953,282614.163712054,785039.343644645,0,0,0,"MPB-B1-18",53.058302,-118.121343,2023,2022,2022,2022,2022,2022,2022,0,0,0,"MPB-B1-18",53.058302,-118.121343,2023,NA,NA,NA,NA,NA,NA
"10","MPB-B1-19",2023,70197.712274119,264851.498166305,619229.15251338,2,2,2,2,2,0,70653.5409281496,259469.080383647,488960.102992147,0,0,0,"MPB-B1-19",53.028697,-118.104232,2023,2022,2022,2022,2022,2022,2022,0,0,0,"MPB-B1-19",53.028697,-118.104232,2023,NA,NA,NA,NA,NA,NA
"11","MPB-B1-20",2023,65242.4549647169,263062.825112553,685874.303749992,2,2,2,2,2,2,60497.4085985422,206016.075239513,531385.969723131,0,0,0,"MPB-B1-20",53.026393,-118.106484,2023,2022,2022,2022,2022,2022,2022,0,0,0,"MPB-B1-20",53.026393,-118.106484,2023,NA,NA,NA,NA,NA,NA
"12","MPB-B1-21",2023,9450.92250591284,81907.040854957,258543.813042054,0,0,0,0,0,0,70653.5409278655,282278.065617874,698475.257507332,0,0,0,"MPB-B1-21",53.076598,-118.098008,2023,2022,2022,2022,2022,2022,2022,0,0,0,"MPB-B1-21",53.076598,-118.098008,2023,NA,NA,NA,NA,NA,NA
"13","MPB-B1-3",2023,70653.5409280043,261006.233167729,641889.189695107,3,2,3,2,2,2,70653.5409279186,282614.163711971,785039.343644161,0,0,0,"MPB-B1-3",53.150976,-118.030968,2023,2022,2022,2022,2022,2022,2022,0,0,0,"MPB-B1-3",53.150976,-118.030968,2023,NA,NA,NA,NA,NA,NA
"14","MPB-B1-4",2023,55187.100104331,232423.931703994,517365.509401409,2,2,3,2,2,2,62846.9269613102,213058.598733258,421215.455497339,0,0,0,"MPB-B1-4",53.15801,-118.040903,2023,2022,2022,2022,2022,2022,2021,0,0,0,"MPB-B1-4",53.15801,-118.040903,2023,NA,NA,NA,NA,NA,NA
"15","MPB-B1-5",2023,58889.6993893401,226784.433675265,634249.904238755,3,2,2,2,2,2,70653.5409279037,251748.366389515,634317.026042027,0,0,0,"MPB-B1-5",53.151548,-118.041689,2023,2022,2022,2022,2022,2022,2022,0,0,0,"MPB-B1-5",53.151548,-118.041689,2023,NA,NA,NA,NA,NA,NA
"16","MPB-B1-6",2023,69467.2781162132,260255.971931849,652531.248552172,2,2,2,2,2,2,70653.5409280909,282614.163711842,785039.343643598,0,0,0,"MPB-B1-6",53.125305,-118.037841,2023,2022,2022,2022,2022,2022,2022,0,0,0,"MPB-B1-6",53.125305,-118.037841,2023,NA,NA,NA,NA,NA,NA
"17","MPB-B1-7",2023,66606.0254584337,248789.077845749,652534.343542715,2,2,2,2,2,2,70653.5409279121,282614.163711848,785039.343644127,0,0,0,"MPB-B1-7",53.1276,-118.042694,2023,2022,2022,2022,2022,2022,2022,0,0,0,"MPB-B1-7",53.1276,-118.042694,2023,NA,NA,NA,NA,NA,NA
"18","MPB-B1-8",2023,54673.883704775,164949.329371352,536032.976491555,0,0,2,2,2,2,70653.540927995,282614.163711786,785039.343645073,0,0,0,"MPB-B1-8",53.121557,-118.042921,2023,2022,2022,2022,2022,2022,2022,0,0,0,"MPB-B1-8",53.121557,-118.042921,2023,NA,NA,NA,NA,NA,NA
"19","MPB-B1-9",2023,70653.5409279726,282614.163711734,692564.108765325,2,2,2,2,2,2,70653.5409278851,282614.163712019,785039.343645014,0,0,0,"MPB-B1-9",53.11894,-118.035849,2023,2022,2022,2022,2022,2022,2022,0,0,0,"MPB-B1-9",53.11894,-118.035849,2023,NA,NA,NA,NA,NA,NA
"20","MPB-B2-35",2024,70653.5409280111,257007.597488181,587875.968714655,2,2,2,2,2,2,70653.5409281123,258540.10672904,565403.697836726,0,0,0,"MPB-B2-35",53.024896,-118.112531,2024,2022,2022,2022,2022,2022,2022,0,0,0,"MPB-B2-35",53.024896,-118.112531,2024,NA,NA,NA,NA,NA,NA
"21","MPB-B2-36",2024,70309.5124685538,256195.111139037,699266.163736212,2,2,2,2,2,2,70653.540927981,229813.944738954,547144.934553428,0,0,0,"MPB-B2-36",53.024337,-118.124709,2024,2022,2022,2022,2022,2022,2022,0,0,0,"MPB-B2-36",53.024337,-118.124709,2024,NA,NA,NA,NA,NA,NA
"22","MPB-B2-37",2024,70653.5407327443,280688.470751262,664126.495715158,2,3,2,3,2,3,70653.5409281747,246816.886513599,654068.963575417,0,0,0,"MPB-B2-37",53.027565,-118.12733,2024,2022,2022,2022,2022,2022,2022,0,0,0,"MPB-B2-37",53.027565,-118.12733,2024,NA,NA,NA,NA,NA,NA
"23","MPB-B2-39",2024,70653.5401239751,248898.291849454,554177.901882371,3,3,3,3,3,3,70653.5409280183,280862.222214526,732979.521444323,0,0,0,"MPB-B2-39",53.032641,-118.127272,2024,2022,2022,2022,2022,2022,2022,0,0,0,"MPB-B2-39",53.032641,-118.127272,2024,NA,NA,NA,NA,NA,NA
"24","MPB-B2-40",2024,1.95522920018993,23393.3879895564,104922.619798602,0,0,0,0,0,0,70653.5409279354,282614.163712131,785039.343644556,0,0,0,"MPB-B2-40",53.042846,-118.127423,2024,2022,2022,2022,2022,2022,2022,0,0,0,"MPB-B2-40",53.042846,-118.127423,2024,NA,NA,NA,NA,NA,NA
"25","MPB-B2-41",2024,7837.76565546822,80749.2703340044,301738.854575125,0,0,0,0,0,0,70653.540927913,282614.163711948,784994.653262372,0,0,0,"MPB-B2-41",53.048107,-118.126163,2024,2022,2022,2022,2022,2022,2022,0,0,0,"MPB-B2-41",53.048107,-118.126163,2024,NA,NA,NA,NA,NA,NA
"26","MPB-B2-42",2024,0,34702.1721734647,201726.646309942,0,0,0,0,0,0,70653.5409279978,282614.163711892,785039.343644127,0,0,0,"MPB-B2-42",53.054302,-118.118713,2024,2022,2022,2022,2022,2022,2022,0,0,0,"MPB-B2-42",53.054302,-118.118713,2024,NA,NA,NA,NA,NA,NA
"27","MPB-B2-43",2024,2948.75895991409,58321.8774941135,222209.402110634,0,0,0,0,0,0,70653.5409282437,282614.163712105,773684.959676346,0,0,0,"MPB-B2-43",53.057355,-118.11454,2024,2022,2022,2022,2022,2022,2022,0,0,0,"MPB-B2-43",53.057355,-118.11454,2024,NA,NA,NA,NA,NA,NA
"28","MPB-B2-44",2024,0,2059.39328343328,86302.8664058898,0,0,2,2,2,2,70653.5409279531,282614.163712019,759297.449017394,0,0,0,"MPB-B2-44",53.064658,-118.109007,2024,2022,2022,2022,2022,2022,2022,0,0,0,"MPB-B2-44",53.064658,-118.109007,2024,NA,NA,NA,NA,NA,NA
"29","MPB-B2-45",2024,0,21517.6371651043,33830.7790491161,0,0,2,2,2,2,70653.5409280378,278882.499480519,693923.795114141,0,0,0,"MPB-B2-45",53.068973,-118.10359,2024,2022,2022,2022,2022,2022,2022,0,0,0,"MPB-B2-45",53.068973,-118.10359,2024,NA,NA,NA,NA,NA,NA
"30","MPB-B2-46",2024,14731.8073390527,56486.0956537549,108890.113626521,2,2,2,2,0,0,70653.5409280676,281859.611362618,734231.440833654,0,0,0,"MPB-B2-46",53.072353,-118.103118,2024,2022,2022,2022,2022,2022,2022,0,0,0,"MPB-B2-46",53.072353,-118.103118,2024,NA,NA,NA,NA,NA,NA
"31","MPB-B2-47",2024,11005.4755994324,136932.804032754,354868.716594628,0,0,2,0,2,2,70653.5409280723,282614.163711634,776995.440063336,0,0,0,"MPB-B2-47",53.080043,-118.096292,2024,2022,2022,2022,2022,2022,2022,0,0,0,"MPB-B2-47",53.080043,-118.096292,2024,NA,NA,NA,NA,NA,NA
"32","MPB-B2-48",2024,6451.70077174343,38977.4397545643,127275.219597645,0,0,0,0,2,2,70653.5409278469,282614.163711734,782063.76671995,0,0,0,"MPB-B2-48",53.081108,-118.088299,2024,2022,2022,2022,2022,2022,2022,0,0,0,"MPB-B2-48",53.081108,-118.088299,2024,NA,NA,NA,NA,NA,NA
"33","MPB-B2-49",2024,0,0,37638.1717103012,0,0,0,0,2,2,70653.5409278749,282614.163711565,785039.343644302,0,0,0,"MPB-B2-49",53.083908,-118.083537,2024,2022,2022,2022,2022,2022,2021,0,0,0,"MPB-B2-49",53.083908,-118.083537,2024,NA,NA,NA,NA,NA,NA
"34","MPB-B2-50",2024,70653.5409278492,280386.626122417,655437.375868947,2,2,2,2,2,2,70653.5409280229,282614.163711907,785039.343644138,0,0,0,"MPB-B2-50",53.121242,-118.032797,2024,2022,2022,2022,2022,2022,2022,0,0,0,"MPB-B2-50",53.121242,-118.032797,2024,NA,NA,NA,NA,NA,NA
"35","MPB-B2-53",2024,63588.8304700046,210900.999851674,519964.904835956,3,2,3,2,3,2,70653.5409280192,282614.163712014,764450.624117671,0,0,0,"MPB-B2-53",53.13204,-118.027532,2024,2022,2022,2022,2022,2022,2022,0,0,0,"MPB-B2-53",53.13204,-118.027532,2024,NA,NA,NA,NA,NA,NA
"36","MPB-B2-54",2024,70653.5409277971,256981.188926721,491586.470962709,3,2,3,2,3,2,70653.5409281449,282614.163711872,785039.343644004,0,0,0,"MPB-B2-54",53.134624,-118.031087,2024,2022,2022,2022,2022,2022,2022,0,0,0,"MPB-B2-54",53.134624,-118.031087,2024,NA,NA,NA,NA,NA,NA
"37","MPB-B2-55",2024,50963.4802582166,212500.855376704,684778.272699501,2,2,2,2,2,2,70653.540927995,282614.163711812,742813.14844952,0,0,0,"MPB-B2-55",53.136057,-118.025637,2024,2022,2022,2022,2022,2022,2022,0,0,0,"MPB-B2-55",53.136057,-118.025637,2024,NA,NA,NA,NA,NA,NA
"38","MPB-B2-56",2024,65457.8213971434,180908.343055896,415334.264433909,3,2,3,2,3,2,70653.5409279261,282614.163711878,785039.343643878,0,0,0,"MPB-B2-56",53.138251,-118.031862,2024,2022,2022,2022,2022,2022,2022,0,0,0,"MPB-B2-56",53.138251,-118.031862,2024,NA,NA,NA,NA,NA,NA
"39","MPB-B2-57",2024,70601.9499776015,250556.741199021,621046.642207945,2,2,2,2,2,2,70653.5409280062,282614.163711894,783963.281755688,0,0,0,"MPB-B2-57",53.139147,-118.027136,2024,2022,2022,2022,2022,2022,2022,0,0,0,"MPB-B2-57",53.139147,-118.027136,2024,NA,NA,NA,NA,NA,NA
"40","MPB-B2-58",2024,65858.8273752183,234467.360615022,576745.572374307,1,2,1,2,2,2,70653.5409280062,261300.951941868,624661.150569741,0,0,0,"MPB-B2-58",53.14407,-118.023671,2024,2022,2022,2022,2022,2022,2022,0,0,0,"MPB-B2-58",53.14407,-118.023671,2024,NA,NA,NA,NA,NA,NA
"41","MPB-B2-59",2024,42325.4886925009,173322.553122956,442917.103552465,2,2,2,2,2,2,70653.5409279224,242429.150120999,571907.777024064,0,0,0,"MPB-B2-59",53.148365,-118.023118,2024,2022,2022,2022,2022,2022,2022,0,0,0,"MPB-B2-59",53.148365,-118.023118,2024,NA,NA,NA,NA,NA,NA
"42","MPB-B5-918",2023,0,0,0,0,0,0,0,0,0,70653.5409281822,276822.91491136,685871.324921791,0,0,0,"MPB-B5-918",52.867148,-117.80501,2023,2015,2015,2015,2015,2015,2015,0,0,0,"MPB-B5-918",52.867148,-117.80501,2023,NA,NA,NA,NA,NA,NA
"43","MPB-B5-919",2023,0,0,0,0,0,0,0,0,0,70653.5409278832,279604.790494155,639292.431890303,0,0,0,"MPB-B5-919",52.865785,-117.801003,2023,2015,2015,2015,2015,2015,2015,0,0,0,"MPB-B5-919",52.865785,-117.801003,2023,NA,NA,NA,NA,NA,NA
"44","MPB-B5-920",2023,0,0,0,0,0,0,0,0,0,70653.5409278506,259956.915052464,612261.8772282,0,0,0,"MPB-B5-920",52.864488,-117.796932,2023,2015,2015,2015,2015,2015,2015,0,0,0,"MPB-B5-920",52.864488,-117.796932,2023,NA,NA,NA,NA,NA,NA
"45","MPB-B5-921",2023,0,0,0,0,0,0,0,0,0,58112.3669330627,190828.769736023,482962.888853455,0,0,0,"MPB-B5-921",52.864145,-117.792371,2023,2015,2015,2015,2015,2015,2015,0,0,0,"MPB-B5-921",52.864145,-117.792371,2023,NA,NA,NA,NA,NA,NA
"46","MPB-B5-968",2023,0,0,155.515580797568,0,0,0,0,2,0,70653.5409276765,282614.16371192,719287.862316983,0,0,0,"MPB-B5-968",52.87463,-117.80979,2023,2015,2015,2015,2015,2015,2015,0,0,0,"MPB-B5-968",52.87463,-117.80979,2023,NA,NA,NA,NA,NA,NA
"47","MPB-B5-969",2023,0,6704.94507186767,25689.8894351944,0,0,2,0,2,0,70653.5409279205,259292.696977351,634617.216859296,0,0,0,"MPB-B5-969",52.87594,-117.81389,2023,2015,2015,2015,2015,2015,2015,0,0,0,"MPB-B5-969",52.87594,-117.81389,2023,NA,NA,NA,NA,NA,NA
"48","MPB-B5-970",2023,16626.2856254783,34354.1227862407,76892.0687346719,2,0,2,0,2,0,30124.7515729535,137965.916678559,404821.684932553,0,0,0,"MPB-B5-970",52.87847,-117.81519,2023,2015,2015,2015,2015,2015,2015,0,0,0,"MPB-B5-970",52.87847,-117.81519,2023,NA,NA,NA,NA,NA,NA
"49","MPB-B5-971",2023,0,0,17.3560496466234,0,0,0,0,2,0,70653.5409282157,282614.163711935,785039.343643945,0,0,0,"MPB-B5-971",52.87304,-117.81349,2023,2015,2015,2015,2015,2015,2015,0,0,0,"MPB-B5-971",52.87304,-117.81349,2023,NA,NA,NA,NA,NA,NA
"50","MPB-H1-900",2023,0,3197.49143264676,94920.8704059599,0,0,2,3,3,3,52793.19941108,93053.7363073721,112286.03190815,0,0,0,"MPB-H1-900",52.873876,-118.10962,2023,2009,2006,2009,2006,2010,2006,41813.7143725296,153552.552448645,400451.653639513,"MPB-H1-900",52.873876,-118.10962,2023,2005,1999,2020,2003,2020,2006
"51","MPB-H1-904",2023,3525.71645105351,42795.1045714536,111082.315266705,3,3,3,3,3,3,0,238.739543497046,3119.75924579227,0,0,0,"MPB-H1-904",52.878374,-118.115179,2023,NA,NA,NA,NA,1993,1982,69765.7056511694,191455.271062772,322525.925997613,"MPB-H1-904",52.878374,-118.115179,2023,2019,2019,2019,2019,2019,2017
"52","MPB-H1-905",2023,0,4895.19870951818,72343.0601750249,0,0,3,3,3,3,293.602842255612,999.34107918424,1998.67798190685,0,0,0,"MPB-H1-905",52.879937,-118.118921,2023,NA,NA,1993,1993,1993,1981,61727.1801702632,187676.885158818,315785.859191698,"MPB-H1-905",52.879937,-118.118921,2023,2019,2019,2019,2019,2019,2018
"53","MPB-H1-906",2023,7083.5353079699,51950.9049729751,181297.964416834,3,3,3,3,3,3,0,999.34107918424,999.34107918424,0,0,0,"MPB-H1-906",52.880072,-118.123093,2023,NA,NA,1993,1993,1993,1993,60771.8185694925,123076.841019933,242930.367363753,"MPB-H1-906",52.880072,-118.123093,2023,2019,2019,2019,2019,2019,2017
"54","MPB-H1-954",2023,0,0,22654.7163999059,0,0,0,0,3,3,0,0,0,0,0,0,"MPB-H1-954",52.87148,-118.13196,2023,NA,NA,NA,NA,NA,NA,70653.5409281403,258216.46765634,513132.127668486,"MPB-H1-954",52.87148,-118.13196,2023,2019,2019,2019,2018,2019,2017
"55","MPB-H1-955",2023,0,0,22231.2514581892,0,0,0,0,3,3,0,0,0,0,0,0,"MPB-H1-955",52.87147,-118.13196,2023,NA,NA,NA,NA,NA,NA,70653.5409279652,258092.373522192,512740.813223608,"MPB-H1-955",52.87147,-118.13196,2023,2019,2019,2019,2018,2019,2017
"56","MPB-H1-956",2023,0,0,0,0,0,0,0,0,0,0,999.340457199025,1998.6796838243,0,0,0,"MPB-H1-956",52.86986,-118.1258,2023,NA,NA,1995,1995,1998,1996,69560.9518336327,195564.057542133,571303.22173887,"MPB-H1-956",52.86986,-118.1258,2023,2019,2019,2019,2016,2019,2015
"57","MPB-H13-21",2024,0,0,0,0,0,0,0,0,0,0,0,3571.08132770436,0,0,0,"MPB-H13-21",52.869903,-118.120698,2024,NA,NA,NA,NA,2000,1998,48309.182020786,186137.618468207,545551.854049353,"MPB-H13-21",52.869903,-118.120698,2024,2019,2011,2019,2012,2019,2013
"58","MPB-H13-22",2024,0,0,14346.1329692341,0,0,0,0,3,3,0,864.917000321904,22700.7195374331,0,0,0,"MPB-H13-22",52.871708,-118.117292,2024,NA,NA,2000,2000,2009,2006,63267.0744806891,200439.029718687,457247.846554434,"MPB-H13-22",52.871708,-118.117292,2024,2009,2008,2020,2008,2020,2008
"59","MPB-H15-23",2024,0,0,20443.3473809899,0,0,0,0,3,3,0,0,0,0,0,0,"MPB-H15-23",52.872952,-118.121615,2024,NA,NA,NA,NA,NA,NA,68257.0917388126,224879.291932375,545616.981843544,"MPB-H15-23",52.872952,-118.121615,2024,2008,2008,2019,2008,2019,2010
"60","MPB-H15-24",2024,0,0,39094.0342392516,0,0,0,0,3,3,0,0,0,0,0,0,"MPB-H15-24",52.872819,-118.127208,2024,NA,NA,NA,NA,NA,NA,59934.3599066356,234662.821380897,583965.231886436,"MPB-H15-24",52.872819,-118.127208,2024,2019,2008,2019,2013,2019,2014
"61","MPB-H15-25",2024,8147.38133681449,28531.0859773778,93265.1184155918,3,3,3,3,3,3,0,0,0,0,0,0,"MPB-H15-25",52.875609,-118.126941,2024,NA,NA,NA,NA,NA,NA,54662.2652356894,129801.743922471,348976.40110571,"MPB-H15-25",52.875609,-118.126941,2024,2011,2008,2019,2009,2019,2011
"62","MPB-H16-09",2024,34468.501878906,141278.980490441,390733.845971026,3,3,3,3,2,3,0,0,1998.67490548299,0,0,0,"MPB-H16-09",52.873485,-118.055814,2024,NA,NA,NA,NA,1963,1952,70653.5409277817,243917.261870436,486865.052442132,"MPB-H16-09",52.873485,-118.055814,2024,2008,2008,2008,2008,2019,2008
