"","SS","YEAR","BEETLEAREA150","BEETLEAREA300","BEETLEAREA500","SEVERITY150","DOMCLASS150","SEVERITY300","DOMCLASS300","SEVERITY500","DOMCLASS500","BURNAREA150","BURNAREA300","BURNAREA500","DOMBURNCLASS150","DOMBURNCLASS300","DOMBURNCLASS500","location.x","latitude.x","longitude.x","year.x","maxFY150m","meanFY150m","maxFY300m","meanFY300m","maxFY500m","meanFY500m","HARVESTAREA150","HARVESTAREA300","HARVESTAREA500","location.y","latitude.y","longitude.y","year.y","maxHY150m","meanHY150m","maxHY300m","meanHY300m","maxHY500m","meanHY500m"
"63","MPB-H16-10",2024,70653.540928157,222412.096442568,443870.0587124,3,3,3,3,3,3,0,0,1212.65083249653,0,0,0,"MPB-H16-10",52.875571,-118.052234,2024,NA,NA,NA,NA,2007,2007,70653.5409280108,210743.078784705,414929.244548826,"MPB-H16-10",52.875571,-118.052234,2024,2008,2008,2008,2008,2021,2008
"64","MPB-H16-14",2024,91.6844369457103,54239.1052190204,229640.802660884,3,3,3,3,3,3,0,0,1691.23598676201,0,0,0,"MPB-H16-14",52.872808,-118.051757,2024,NA,NA,NA,NA,1989,1965,61375.7471527059,151881.922273651,318821.899769239,"MPB-H16-14",52.872808,-118.051757,2024,2008,2008,2008,2008,2008,2008
"65","MPB-H19-31",2024,39217.657683026,136195.61125437,246626.12380415,3,3,3,3,3,3,1443.03002088154,24277.3819865537,77790.8859639373,0,0,0,"MPB-H19-31",52.887938,-118.088702,2024,1988,1988,2006,2001,2016,2002,69617.5211756043,255770.472128252,621720.978867911,"MPB-H19-31",52.887938,-118.088702,2024,2005,2004,2019,2005,2022,2008
"66","MPB-H3-01",2024,68828.7722735237,243423.837196599,687210.612649688,3,3,3,3,3,3,0,0,0,0,0,0,"MPB-H3-01",52.907133,-118.012417,2024,NA,NA,NA,NA,NA,NA,36044.1801743805,75586.7775129224,123396.11012809,"MPB-H3-01",52.907133,-118.012417,2024,2021,2021,2021,2021,2021,2021
"67","MPB-H5-17",2024,0,0,0,0,0,0,0,0,0,0,1832.80644537858,3997.35719720495,0,0,0,"MPB-H5-17",52.866926,-118.12178,2024,NA,NA,1998,1996,2002,1982,61741.8058293266,209261.22820954,522809.310294038,"MPB-H5-17",52.866926,-118.12178,2024,2019,2019,2019,2018,2019,2017
"68","MPB-H5-18",2024,0,0,0,0,0,0,0,0,0,1752.81839639437,1998.6796838243,2998.01683179413,0,0,0,"MPB-H5-18",52.8668,-118.12659,2024,1995,1995,1998,1996,1998,1977,52735.6910513337,166636.952315726,475993.654193124,"MPB-H5-18",52.8668,-118.12659,2024,2019,2018,2019,2018,2019,2018
"69","MPB-H5-19",2024,0,0,0,0,0,0,0,0,0,115.592866781059,999.337147977894,2998.01683179413,0,0,0,"MPB-H5-19",52.864105,-118.128273,2024,1959,1959,1959,1959,1998,1977,49022.2755782632,134820.424863974,264903.800246508,"MPB-H5-19",52.864105,-118.128273,2024,2019,2019,2019,2019,2019,2018
"70","MPB-H5-20",2024,0,2863.98918873086,113999.339955451,0,0,3,3,3,3,0,0,0,0,0,0,"MPB-H5-20",52.872615,-118.137165,2024,NA,NA,NA,NA,NA,NA,70653.5409281775,247553.351232566,379526.074968807,"MPB-H5-20",52.872615,-118.137165,2024,2019,2019,2019,2019,2019,2019
"71","MPB-H5-26",2024,0,0,1552.03392313793,0,0,0,0,3,3,0,1993.20257127145,84172.8632522488,0,0,0,"MPB-H5-26",52.884307,-118.097333,2024,NA,NA,2004,2004,2013,2008,70653.5409280881,255238.907048321,541375.102975427,"MPB-H5-26",52.884307,-118.097333,2024,2019,2019,2019,2017,2019,2013
"72","MPB-H5-27",2024,0,0,0,0,0,0,0,0,0,0,0,7902.2151227612,0,0,0,"MPB-H5-27",52.884663,-118.102121,2024,NA,NA,NA,NA,2013,2013,70653.5409279503,237528.035287213,514645.977104325,"MPB-H5-27",52.884663,-118.102121,2024,2019,2019,2019,2019,2019,2018
"73","MPB-H5-28",2024,0,0,1532.439982968,0,0,0,0,3,3,0,0,327.612396188168,0,0,0,"MPB-H5-28",52.8862,-118.107265,2024,NA,NA,NA,NA,NA,NA,70653.5409280099,247248.609413374,462359.243583809,"MPB-H5-28",52.8862,-118.107265,2024,2019,2019,2019,2019,2019,2019
"74","MPB-H5-29",2024,0,5386.76014890708,122144.284114844,0,0,3,3,3,3,0,0,0,0,0,0,"MPB-H5-29",52.888726,-118.113657,2024,NA,NA,NA,NA,NA,NA,60598.1391430907,181897.596326899,390673.383952421,"MPB-H5-29",52.888726,-118.113657,2024,2019,2019,2019,2019,2019,2019
"75","MPB-H5-30",2024,20956.7903713046,121499.451173523,236300.563682311,3,3,3,3,3,3,0,0,0,0,0,0,"MPB-H5-30",52.892833,-118.109437,2024,NA,NA,NA,NA,NA,NA,59362.9408339518,104309.176876387,205419.396390015,"MPB-H5-30",52.892833,-118.109437,2024,2019,2019,2019,2019,2019,2019
"76","MPB-H5-32",2024,0,0,33452.7337128756,0,0,0,0,3,3,0,0,13.9469140360889,0,0,0,"MPB-H5-32",52.898199,-118.104949,2024,NA,NA,NA,NA,NA,NA,68591.0666198358,196151.350399128,289462.071686854,"MPB-H5-32",52.898199,-118.104949,2024,2019,2019,2019,2018,2019,2017
"77","MPB-H5-33",2024,0,49672.0856210182,195356.247958142,0,0,3,3,3,3,0,994.929951921513,1060.4648620084,0,0,0,"MPB-H5-33",52.898548,-118.109698,2024,NA,NA,2016,2016,2016,2016,69988.2899259678,140069.506098475,224013.855822336,"MPB-H5-33",52.898548,-118.109698,2024,2019,2019,2019,2019,2019,2019
"78","MPB-H5-34",2024,0,8198.48796882341,154149.449071248,0,0,3,3,3,3,0,99.5596010026056,99.5596010026056,0,0,0,"MPB-H5-34",52.899597,-118.091687,2024,NA,NA,NA,NA,NA,NA,70653.540928117,203854.477133792,268276.032597529,"MPB-H5-34",52.899597,-118.091687,2024,2019,2019,2019,2019,2019,2018
"79","MPB-S10-952",2023,0,0,21.3073281884426,0,0,0,0,3,3,0,0,314.171233037487,0,0,0,"MPB-S10-952",52.87136,-118.12115,2023,NA,NA,NA,NA,NA,NA,57597.0494889617,240627.903530318,534010.217268323,"MPB-S10-952",52.87136,-118.12115,2023,2019,2009,2019,2010,2019,2011
"80","MPB-S5-1",2023,62143.5437377014,253204.824484444,729963.466791273,2,2,4,3,4,3,0,0,0,0,0,0,"MPB-S5-1",52.90903,-117.966253,2023,NA,NA,NA,NA,NA,NA,0,0,0,"MPB-S5-1",52.90903,-117.966253,2023,NA,NA,NA,NA,NA,NA
"81","MPB-S5-10",2023,70653.5409280029,269692.972592327,710650.631960657,3,2,3,2,3,2,0,0,0,0,0,0,"MPB-S5-10",52.886063,-117.991068,2023,NA,NA,NA,NA,NA,NA,0,0,0,"MPB-S5-10",52.886063,-117.991068,2023,NA,NA,NA,NA,NA,NA
"82","MPB-S5-11",2023,70653.5409279298,282241.998614849,647133.377808793,4,3,4,3,4,3,0,0,0,0,0,0,"MPB-S5-11",52.921097,-117.988848,2023,NA,NA,NA,NA,NA,NA,0,0,0,"MPB-S5-11",52.921097,-117.988848,2023,NA,NA,NA,NA,NA,NA
"83","MPB-S5-12",2023,63255.7569983443,202089.416885063,509028.403323631,2,3,3,3,3,3,0,0,12140.4512252086,0,0,0,"MPB-S5-12",52.953009,-118.05529,2023,NA,NA,NA,NA,2022,2022,0,0,0,"MPB-S5-12",52.953009,-118.05529,2023,NA,NA,NA,NA,NA,NA
"84","MPB-S5-14",2023,66523.7777209605,200468.244457409,389890.82811223,3,3,3,3,3,3,0,1998.67829575481,1998.67829575481,0,0,0,"MPB-S5-14",52.92049,-118.065347,2023,NA,NA,2003,1977,2003,1977,0,0,0,"MPB-S5-14",52.92049,-118.065347,2023,NA,NA,NA,NA,NA,NA
"85","MPB-S5-15",2023,63405.6393174064,242409.778940811,655861.024082114,3,3,3,3,3,3,0,0,0,0,0,0,"MPB-S5-15",52.90713,-118.01716,2023,NA,NA,NA,NA,NA,NA,0,11918.3000242142,83829.6316831971,"MPB-S5-15",52.90713,-118.01716,2023,NA,NA,2021,2021,2021,2021
"86","MPB-S5-16",2023,52179.9725885456,169007.222776196,444296.462868971,3,3,3,3,3,3,0,0,2098.23739568238,0,0,0,"MPB-S5-16",52.889347,-118.044129,2023,NA,NA,NA,NA,1952,1952,14036.9396199132,83514.3333879258,228828.728818648,"MPB-S5-16",52.889347,-118.044129,2023,2020,2020,2020,2014,2020,2011
"87","MPB-S5-17",2023,70653.5409280676,278637.047135746,642933.594500311,3,2,3,2,3,2,70653.5409281719,212557.59687658,433436.360407501,0,0,0,"MPB-S5-17",53.159663,-118.057305,2023,2022,2022,2022,2022,2022,2022,0,0,0,"MPB-S5-17",53.159663,-118.057305,2023,NA,NA,NA,NA,NA,NA
"88","MPB-S5-2",2023,70653.5409280997,282614.163711859,785039.33209513,2,2,4,3,4,3,0,0,0,0,0,0,"MPB-S5-2",52.914677,-117.936873,2023,NA,NA,NA,NA,NA,NA,0,0,0,"MPB-S5-2",52.914677,-117.936873,2023,NA,NA,NA,NA,NA,NA
"89","MPB-S5-3",2023,70653.5409279934,282614.163711961,785039.326754653,4,2,4,2,2,2,0,0,0,0,0,0,"MPB-S5-3",52.913615,-117.925577,2023,NA,NA,NA,NA,NA,NA,0,0,0,"MPB-S5-3",52.913615,-117.925577,2023,NA,NA,NA,NA,NA,NA
"90","MPB-S5-4",2023,50697.6975697582,220850.963107443,599293.880590279,4,3,4,3,4,3,0,0,999.335570837691,0,0,0,"MPB-S5-4",52.734364,-117.962727,2023,NA,NA,NA,NA,NA,NA,0,0,0,"MPB-S5-4",52.734364,-117.962727,2023,NA,NA,NA,NA,NA,NA
"91","MPB-S5-400",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MPB-S5-400",52.562614,-117.692532,2024,NA,NA,NA,NA,NA,NA,0,0,0,"MPB-S5-400",52.562614,-117.692532,2024,NA,NA,NA,NA,NA,NA
"92","MPB-S5-401",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MPB-S5-401",52.564206,-117.696557,2024,NA,NA,NA,NA,NA,NA,0,0,0,"MPB-S5-401",52.564206,-117.696557,2024,NA,NA,NA,NA,NA,NA
"93","MPB-S5-402",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MPB-S5-402",52.556989,-117.683609,2024,NA,NA,NA,NA,NA,NA,0,0,0,"MPB-S5-402",52.556989,-117.683609,2024,NA,NA,NA,NA,NA,NA
"94","MPB-S5-5",2023,70653.5409279964,282614.163711831,785039.34364507,4,2,4,2,1,2,0,0,0,0,0,0,"MPB-S5-5",52.912808,-117.994266,2023,NA,NA,NA,NA,NA,NA,0,0,0,"MPB-S5-5",52.912808,-117.994266,2023,NA,NA,NA,NA,NA,NA
"95","MPB-S5-500",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MPB-S5-500",52.554485,-117.687167,2024,NA,NA,NA,NA,NA,NA,0,0,0,"MPB-S5-500",52.554485,-117.687167,2024,NA,NA,NA,NA,NA,NA
"96","MPB-S5-502",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MPB-S5-502",52.551648,-117.684798,2024,NA,NA,NA,NA,NA,NA,0,0,0,"MPB-S5-502",52.551648,-117.684798,2024,NA,NA,NA,NA,NA,NA
"97","MPB-S5-503",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MPB-S5-503",52.5314385,-117.641873,2024,NA,NA,NA,NA,NA,NA,0,0,0,"MPB-S5-503",52.5314385,-117.641873,2024,NA,NA,NA,NA,NA,NA
"98","MPB-S5-504",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MPB-S5-504",52.528565,-117.63996,2024,NA,NA,NA,NA,NA,NA,0,0,0,"MPB-S5-504",52.528565,-117.63996,2024,NA,NA,NA,NA,NA,NA
"99","MPB-S5-505",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MPB-S5-505",52.5258,-117.64156,2024,NA,NA,NA,NA,NA,NA,0,0,0,"MPB-S5-505",52.5258,-117.64156,2024,NA,NA,NA,NA,NA,NA
"100","MPB-S5-506",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MPB-S5-506",52.5230795,-117.6435045,2024,NA,NA,NA,NA,NA,NA,0,0,0,"MPB-S5-506",52.5230795,-117.6435045,2024,NA,NA,NA,NA,NA,NA
"101","MPB-S5-507",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MPB-S5-507",52.5210325,-117.648259,2024,NA,NA,NA,NA,NA,NA,0,0,0,"MPB-S5-507",52.5210325,-117.648259,2024,NA,NA,NA,NA,NA,NA
"102","MPB-S5-508",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MPB-S5-508",52.5185065,-117.64965,2024,NA,NA,NA,NA,NA,NA,0,0,0,"MPB-S5-508",52.5185065,-117.64965,2024,NA,NA,NA,NA,NA,NA
"103","MPB-S5-509",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MPB-S5-509",52.515412,-117.6484215,2024,NA,NA,NA,NA,NA,NA,0,0,0,"MPB-S5-509",52.515412,-117.6484215,2024,NA,NA,NA,NA,NA,NA
"104","MPB-S5-510",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MPB-S5-510",52.5126415,-117.65025,2024,NA,NA,NA,NA,NA,NA,0,0,0,"MPB-S5-510",52.5126415,-117.65025,2024,NA,NA,NA,NA,NA,NA
"105","MPB-S5-511",2024,0,0,0,0,0,0,0,0,0,0,0,11.6447999646698,0,0,0,"MPB-S5-511",52.5092235,-117.6483415,2024,NA,NA,NA,NA,NA,NA,0,0,0,"MPB-S5-511",52.5092235,-117.6483415,2024,NA,NA,NA,NA,NA,NA
"106","MPB-S5-512",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MPB-S5-512",52.5058415,-117.647032,2024,NA,NA,NA,NA,NA,NA,0,0,0,"MPB-S5-512",52.5058415,-117.647032,2024,NA,NA,NA,NA,NA,NA
"107","MPB-S5-6",2023,70653.5409280211,282517.617873108,748174.59339606,4,3,4,3,4,3,0,0,0,0,0,0,"MPB-S5-6",52.910438,-117.938581,2023,NA,NA,NA,NA,NA,NA,0,0,0,"MPB-S5-6",52.910438,-117.938581,2023,NA,NA,NA,NA,NA,NA
"108","MPB-S5-7",2023,70653.5409279433,282614.163711977,784579.443861207,4,2,4,2,4,2,0,0,0,0,0,0,"MPB-S5-7",52.90805,-117.990306,2023,NA,NA,NA,NA,NA,NA,0,0,0,"MPB-S5-7",52.90805,-117.990306,2023,NA,NA,NA,NA,NA,NA
"109","MPB-S5-8",2023,70653.5409279428,282614.163711312,752044.750956654,4,3,4,3,4,3,0,0,0,0,0,0,"MPB-S5-8",52.906988,-117.925733,2023,NA,NA,NA,NA,NA,NA,0,0,0,"MPB-S5-8",52.906988,-117.925733,2023,NA,NA,NA,NA,NA,NA
"110","MPB-S5-9",2023,70183.0187890669,264995.175608977,734621.054706748,3,2,3,2,3,2,0,0,0,0,0,0,"MPB-S5-9",52.889893,-117.997487,2023,NA,NA,NA,NA,NA,NA,0,0,0,"MPB-S5-9",52.889893,-117.997487,2023,NA,NA,NA,NA,NA,NA
"111","MPB-S5-901",2023,0,15649.3970909742,51326.1846802527,0,0,3,3,3,3,0,71.1246924638529,22952.1594665462,0,0,0,"MPB-S5-901",52.87371,-118.11764,2023,NA,NA,NA,NA,2009,2006,54183.2615557308,165808.736302524,480101.229317093,"MPB-S5-901",52.87371,-118.11764,2023,2009,2008,2009,2008,2020,2009
"112","MPB-S5-902",2023,17114.5257258881,44089.7251413263,83893.9503551442,3,3,3,3,3,3,0,999.336983844121,6024.72395980706,0,0,0,"MPB-S5-902",52.87611,-118.117439,2023,NA,NA,NA,NA,2009,2005,23242.7163900193,153341.148399973,467620.990791786,"MPB-S5-902",52.87611,-118.117439,2023,2019,2018,2019,2014,2019,2013
"113","MPB-S5-903",2023,17114.5257258881,44089.7251413263,83893.9503551442,3,3,3,3,3,3,0,999.336983844121,6024.72395980706,0,0,0,"MPB-S5-903",52.87611,-118.117439,2023,NA,NA,NA,NA,2009,2005,23242.7163900193,153341.148399973,467620.990791786,"MPB-S5-903",52.87611,-118.117439,2023,2019,2018,2019,2014,2019,2013
"114","MPB-S5-907",2023,0,0,0,0,0,0,0,0,0,0,0,1009.28371906195,0,0,0,"MPB-S5-907",52.773467,-118.000035,2023,NA,NA,NA,NA,1959,1959,0,83.0655604302883,56403.7191937937,"MPB-S5-907",52.773467,-118.000035,2023,NA,NA,NA,NA,2021,2021
"115","MPB-S5-908",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MPB-S5-908",52.772869,-117.994963,2023,NA,NA,NA,NA,NA,NA,0,0,42978.2480484275,"MPB-S5-908",52.772869,-117.994963,2023,NA,NA,NA,NA,2021,2021
"116","MPB-S5-909",2023,70653.5409278478,242708.004702705,556339.562215935,4,3,4,3,4,3,0,0,0,0,0,0,"MPB-S5-909",52.750854,-117.960557,2023,NA,NA,NA,NA,NA,NA,0,0,0,"MPB-S5-909",52.750854,-117.960557,2023,NA,NA,NA,NA,NA,NA
"117","MPB-S5-910",2023,70653.5409279959,282614.163711913,692761.251880532,4,3,4,3,4,3,0,0,0,0,0,0,"MPB-S5-910",52.747953,-117.95759,2023,NA,NA,NA,NA,NA,NA,0,0,0,"MPB-S5-910",52.747953,-117.95759,2023,NA,NA,NA,NA,NA,NA
"118","MPB-S5-911",2023,70653.5409278953,282614.163711797,764327.773934945,4,3,4,3,4,3,0,0,0,0,0,0,"MPB-S5-911",52.745082,-117.955418,2023,NA,NA,NA,NA,NA,NA,0,0,0,"MPB-S5-911",52.745082,-117.955418,2023,NA,NA,NA,NA,NA,NA
"119","MPB-S5-912",2023,70526.2459925092,226504.068035536,574250.743067577,4,3,4,3,4,3,0,0,0,0,0,0,"MPB-S5-912",52.677109,-117.887913,2023,NA,NA,NA,NA,NA,NA,0,0,0,"MPB-S5-912",52.677109,-117.887913,2023,NA,NA,NA,NA,NA,NA
"120","MPB-S5-913",2023,70653.5409277801,277678.847131899,748186.412369806,4,3,4,3,4,3,0,0,0,0,0,0,"MPB-S5-913",52.713564,-117.934872,2023,NA,NA,NA,NA,NA,NA,0,0,0,"MPB-S5-913",52.713564,-117.934872,2023,NA,NA,NA,NA,NA,NA
"121","MPB-S5-914",2023,70653.5409279088,282614.163711548,785039.339226229,3,3,3,3,3,3,0,0,0,0,0,0,"MPB-S5-914",52.909893,-118.002617,2023,NA,NA,NA,NA,NA,NA,0,0,27516.4401417631,"MPB-S5-914",52.909893,-118.002617,2023,NA,NA,NA,NA,2021,2021
"122","MPB-S5-915",2023,70653.5409278134,282614.163712379,780059.15542307,3,3,3,3,3,3,0,0,0,0,0,0,"MPB-S5-915",52.908244,-118.007666,2023,NA,NA,NA,NA,NA,NA,3195.16898894589,65388.2772552944,126366.857732102,"MPB-S5-915",52.908244,-118.007666,2023,2021,2021,2021,2021,2021,2021
"123","MPB-S5-916",2023,70653.5409279312,282614.16371214,766009.275157344,4,3,4,3,4,3,0,0,0,0,0,0,"MPB-S5-916",52.912723,-117.959579,2023,NA,NA,NA,NA,NA,NA,0,0,0,"MPB-S5-916",52.912723,-117.959579,2023,NA,NA,NA,NA,NA,NA
"124","MPB-S5-917",2023,70653.5409280355,282614.163711682,759770.623404187,4,3,4,3,4,3,0,0,0,0,0,0,"MPB-S5-917",52.911405,-117.954957,2023,NA,NA,NA,NA,NA,NA,0,0,0,"MPB-S5-917",52.911405,-117.954957,2023,NA,NA,NA,NA,NA,NA
"125","MPB-S5-951",2023,0,0,0,0,0,0,0,0,0,0,0,1994.93725048442,0,0,0,"MPB-S5-951",52.85765,-118.08764,2023,NA,NA,NA,NA,2009,2009,24385.3060526736,125313.798040252,319505.887595778,"MPB-S5-951",52.85765,-118.08764,2023,2006,2006,2006,2006,2019,2006
"126","MPB-S5-953",2023,0,0,36430.2838255335,0,0,0,0,3,3,0,0,0,0,0,0,"MPB-S5-953",52.87371,-118.12403,2023,NA,NA,NA,NA,NA,NA,44576.3130921493,225152.571287274,535157.170450344,"MPB-S5-953",52.87371,-118.12403,2023,2011,2008,2019,2008,2019,2011
"127","MPB-S5-957",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MPB-S5-957",52.77788,-118.00702,2023,NA,NA,NA,NA,NA,NA,0,0,0,"MPB-S5-957",52.77788,-118.00702,2023,NA,NA,NA,NA,NA,NA
"128","MPB-S5-958",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MPB-S5-958",52.78056,-118.01013,2023,NA,NA,NA,NA,NA,NA,0,0,0,"MPB-S5-958",52.78056,-118.01013,2023,NA,NA,NA,NA,NA,NA
"129","MPB-S5-959",2023,70653.5409278143,231007.312020721,512579.13464662,4,3,4,3,4,3,0,0,999.336196207005,0,0,0,"MPB-S5-959",52.74751,-117.96844,2023,NA,NA,NA,NA,1965,1965,0,0,0,"MPB-S5-959",52.74751,-117.96844,2023,NA,NA,NA,NA,NA,NA
"130","MPB-S5-960",2023,70653.5409281031,282614.163711528,716640.179354616,4,3,4,3,4,3,0,0,0,0,0,0,"MPB-S5-960",52.74179,-117.95336,2023,NA,NA,NA,NA,NA,NA,0,0,0,"MPB-S5-960",52.74179,-117.95336,2023,NA,NA,NA,NA,NA,NA
"131","MPB-S5-961",2023,70653.540927941,282614.16371172,755071.710904635,4,3,4,3,4,3,0,0,999.335823303081,0,0,0,"MPB-S5-961",52.74052,-117.94711,2023,NA,NA,NA,NA,1964,1964,0,0,0,"MPB-S5-961",52.74052,-117.94711,2023,NA,NA,NA,NA,NA,NA
"132","MPB-S5-962",2023,44264.3834866458,209946.436296653,561623.169431789,4,3,4,3,4,3,0,0,0,0,0,0,"MPB-S5-962",52.67413,-117.88646,2023,NA,NA,NA,NA,NA,NA,0,0,0,"MPB-S5-962",52.67413,-117.88646,2023,NA,NA,NA,NA,NA,NA
"133","MPB-S5-963",2023,70653.5409280043,282614.163711927,745557.290780868,4,3,4,3,4,3,0,0,0,0,0,0,"MPB-S5-963",52.71862,-117.93422,2023,NA,NA,NA,NA,NA,NA,0,0,0,"MPB-S5-963",52.71862,-117.93422,2023,NA,NA,NA,NA,NA,NA
"134","MPB-S5-964",2023,70653.5409276581,282614.163712125,785039.339225565,1,2,1,2,1,2,0,0,0,0,0,0,"MPB-S5-964",52.91178,-117.99901,2023,NA,NA,NA,NA,NA,NA,0,0,0,"MPB-S5-964",52.91178,-117.99901,2023,NA,NA,NA,NA,NA,NA
"135","MPB-S5-965",2023,48578.5438027941,231777.219068735,677971.985090299,1,2,1,2,1,2,0,0,0,0,0,0,"MPB-S5-965",52.91463,-118.00852,2023,NA,NA,NA,NA,NA,NA,0,0,10025.4905670921,"MPB-S5-965",52.91463,-118.00852,2023,NA,NA,NA,NA,2021,2021
"136","MPB-S5-966",2023,70653.5409282264,259090.350021021,672289.97829868,4,3,4,3,4,3,0,0,0,0,0,0,"MPB-S5-966",52.90985,-117.95081,2023,NA,NA,NA,NA,NA,NA,0,0,0,"MPB-S5-966",52.90985,-117.95081,2023,NA,NA,NA,NA,NA,NA
"137","MPB-S5-967",2023,40221.8953112829,176220.390640462,590306.226492089,2,2,4,3,4,3,0,0,0,0,0,0,"MPB-S5-967",52.9087,-117.94647,2023,NA,NA,NA,NA,NA,NA,0,0,0,"MPB-S5-967",52.9087,-117.94647,2023,NA,NA,NA,NA,NA,NA
"138","MPB-S5-991",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MPB-S5-991",52.556963,-117.695147,2024,NA,NA,NA,NA,NA,NA,0,0,0,"MPB-S5-991",52.556963,-117.695147,2024,NA,NA,NA,NA,NA,NA
"139","MPB-S5-992",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MPB-S5-992",52.5589425,-117.699942,2024,NA,NA,NA,NA,NA,NA,0,0,0,"MPB-S5-992",52.5589425,-117.699942,2024,NA,NA,NA,NA,NA,NA
